City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,saipan,15.1355,145.701,81.3,100,75,26.46,MP,1684874970
1,puerto natales,-51.7236,-72.4875,39.65,75,40,4.61,CL,1684874970
2,bozkurt,41.9577,34.0109,58.71,94,90,3.06,TR,1684874970
3,edinburgh of the seven seas,-37.0676,-12.3116,57.42,67,52,30.2,SH,1684874970
4,bulayevo,54.9056,70.4439,57.07,55,49,2.84,KZ,1684874971
5,kailua-kona,19.6406,-155.9956,80.28,84,100,9.22,US,1684874933
6,ribeira grande,38.5167,-28.7,66.6,72,40,10.36,PT,1684874971
7,flying fish cove,-10.4217,105.6791,76.68,88,40,9.22,CX,1684874870
8,bethel,41.3712,-73.414,71.37,56,0,9.22,US,1684874811
9,invercargill,-46.4,168.35,45.28,77,81,9.31,NZ,1684874971
10,kristiansund,63.1115,7.732,50.05,76,0,3.44,NO,1684874972
11,tabuk,17.4189,121.4443,75.2,93,41,0.63,PH,1684874972
12,albany,42.6001,-73.9662,76.8,48,29,4.0,US,1684874912
13,bredasdorp,-34.5322,20.0403,54.07,89,87,3.56,ZA,1684874808
14,port-aux-francais,-49.35,70.2167,46.63,98,100,32.77,TF,1684874972
15,usman',52.0466,39.7288,59.04,97,95,4.07,RU,1684874972
16,mount isa,-20.7333,139.5,58.77,44,0,6.91,AU,1684874771
17,thompson,55.7435,-97.8558,53.76,40,20,9.22,CA,1684874973
18,camana,-16.6228,-72.7111,69.01,78,73,9.31,PE,1684874973
19,richards bay,-28.783,32.0377,64.58,83,99,7.11,ZA,1684874973
20,utrik,11.2278,169.8474,82.2,77,94,16.37,MH,1684874973
21,acajutla,13.5928,-89.8275,87.87,62,100,8.19,SV,1684874973
22,adamstown,-25.066,-130.1015,76.55,87,69,30.33,PN,1684874799
23,waitangi,-43.9535,-176.5597,53.82,96,0,16.89,NZ,1684874974
24,bereznik,62.8551,42.7072,56.89,93,100,4.14,RU,1684874974
25,enewetak,11.3474,162.3373,82.81,73,100,16.35,MH,1684874974
26,wailua homesteads,22.0669,-159.378,79.23,76,40,11.5,US,1684874974
27,rio grande,-32.035,-52.0986,75.31,86,23,8.57,BR,1684874975
28,blackmans bay,-43.0167,147.3167,52.52,80,41,6.64,AU,1684874975
29,st. john's,47.5649,-52.7093,39.78,94,100,18.41,CA,1684874872
30,la ronge,55.1001,-105.2842,50.25,43,100,13.8,CA,1684874893
31,fada,9.5667,8.3,74.3,88,100,1.14,NG,1684874975
32,yellowknife,62.456,-114.3525,61.32,31,75,18.41,CA,1684874976
33,patacamaya,-17.2333,-67.9167,57.25,23,24,6.89,BO,1684874976
34,grytviken,-54.2811,-36.5092,36.3,85,42,11.3,GS,1684874976
35,cockburn town,21.4612,-71.1419,81.41,71,0,2.66,TC,1684874976
36,onguday,50.75,86.15,41.4,93,20,1.21,RU,1684874976
37,ozernyy,55.5802,32.4127,53.71,93,100,3.4,RU,1684874977
38,hermanus,-34.4187,19.2345,58.28,78,52,5.32,ZA,1684874977
39,geraldton,-28.7667,114.6,63.01,94,75,3.44,AU,1684874977
40,khandyga,62.6667,135.6,39.38,61,7,1.97,RU,1684874977
41,obihiro,42.9172,143.2044,45.05,83,77,4.9,JP,1684874977
42,holualoa,19.6228,-155.9522,76.55,84,100,9.22,US,1684874940
43,iqaluit,63.7506,-68.5145,20.93,73,20,25.32,CA,1684874978
